Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
AUDI A7,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3P,midsize car,7,26/64,34/74,29,10,Yes,41.42857142857143,41.400000000000034
AUDI A7,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3P,midsize car,7,26/64,34/74,29,10,Yes,41.42857142857143,41.400000000000034
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3P,small SUV,7,25/43,29/64,27,10,Yes,38.57142857142857,38.45714285714284
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3P,small SUV,7,25/43,29/64,27,10,Yes,38.57142857142857,38.45714285714284
AUDI e-tron,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite,78.0,78.0
AUDI e-tron,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite,78.0,78.0
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite,77.0,77.0
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite,77.0,77.0
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0H30,small car,7,25/72,33/80,28,10,Yes,40.0,39.98571428571429
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0H30,small car,7,25/72,33/80,28,10,Yes,40.0,39.98571428571429
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0H30,small car,7,22/64,30/71,25,9,Yes,32.142857142857146,32.1428571428572
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0H30,small car,7,22/64,30/71,25,9,Yes,32.142857142857146,32.1428571428572
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0H30,small car,7,24/59,29/72,26,9,Yes,33.42857142857143,33.42857142857145
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0H30,small car,7,24/59,29/72,26,9,Yes,33.42857142857143,33.42857142857145
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0H30,small car,7,22/59,28/67,25,9,Yes,32.142857142857146,32.1428571428572
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0H30,small car,7,22/59,28/67,25,9,Yes,32.142857142857146,32.1428571428572
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ02.0H30,small SUV,7,21/59,27/61,24,9,Yes,30.857142857142858,30.857142857142808
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ02.0H30,small SUV,7,21/59,27/61,24,9,Yes,30.857142857142858,30.857142857142808
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXJ03.0H05,standard SUV,7,19/47,22/54,20,9,Yes,25.714285714285715,25.50428571428574
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXJ03.0H05,standard SUV,7,19/47,22/54,20,9,Yes,25.714285714285715,25.50428571428574
BMW i3,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXV00.6I3R,small car,7,30/107,31/93,31,10,Yes,44.285714285714285,44.28571428571428
BMW i3,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXV00.6I3R,small car,7,30/107,31/93,31,10,Yes,44.285714285714285,44.28571428571428
BMW i3,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MBMXV00.0I3B,small car,10,124,102,113,10,Elite,113.0,113.0
BMW i3,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MBMXV00.0I3B,small car,10,124,102,113,10,Elite,113.0,113.0
BMW i3s,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MBMXV00.6I3R,small car,7,30/107,31/93,31,10,Yes,44.285714285714285,44.28571428571428
BMW i3s,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MBMXV00.6I3R,small car,7,30/107,31/93,31,10,Yes,44.285714285714285,44.28571428571428
BMW i3s,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MBMXV00.0I3B,small car,10,124,102,113,10,Elite,113.0,113.0
BMW i3s,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MBMXV00.0I3B,small car,10,124,102,113,10,Elite,113.0,113.0
BUICK Encore GX,1.3,3.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MGMXV01.3545,small SUV,7,30,32,31,7,Yes,31.0,31.0
BUICK Encore GX,1.3,3.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MGMXV01.3545,small SUV,7,30,32,31,7,Yes,31.0,31.0
CHEVROLET Bolt EV,,,CVT,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MGMXV00.0002,station wagon,10,127,108,118,10,Elite,118.0,118.0
CHEVROLET Bolt EV,,,CVT,2WD,Electricity,CA,ZEV,California ZEV,MGMXV00.0002,station wagon,10,127,108,118,10,Elite,118.0,118.0
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MGMXV01.5010,midsize car,7,29,36,32,7,Yes,32.0,32.0
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MGMXV01.5010,midsize car,7,29,36,32,7,Yes,32.0,32.0
CHEVROLET Trailblazer,1.3,3.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MGMXV01.3545,small SUV,7,29,33,31,7,Yes,31.0,31.0
CHEVROLET Trailblazer,1.3,3.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MGMXV01.3545,small SUV,7,29,33,31,7,Yes,31.0,31.0
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MCRXT03.65P6,minivan,7,29/87,30/76,30,10,Yes,42.857142857142854,42.85714285714278
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MCRXT03.65P6,minivan,7,29/87,30/76,30,10,Yes,42.857142857142854,42.85714285714278
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT02.52F1,small SUV,7,44,37,41,8,Yes,46.857142857142854,46.84571428571425
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT02.52F1,small SUV,7,44,37,41,8,Yes,46.857142857142854,46.84571428571425
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT02.52F1,small SUV,7,43,37,40,8,Yes,45.714285714285715,45.71428571428571
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT02.52F1,small SUV,7,43,37,40,8,Yes,45.714285714285715,45.71428571428571
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MFMXT02.52P1,small SUV,7,43/117,38/93,40,10,Yes,57.142857142857146,57.1142857142857
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MFMXT02.52P1,small SUV,7,43/117,38/93,40,10,Yes,57.142857142857146,57.1142857142857
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B3R,station wagon,10,105,93,100,10,Elite,100.0,100.0
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B3R,station wagon,10,105,93,100,10,Elite,100.0,100.0
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B3A,station wagon,10,100,86,93,10,Elite,93.0,93.0
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B3A,station wagon,10,100,86,93,10,Elite,93.0,93.0
FORD Mustang Mach-E Cal Route 1,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B4R,station wagon,10,108,94,101,10,Elite,101.0,101.0
FORD Mustang Mach-E Cal Route 1,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B4R,station wagon,10,108,94,101,10,Elite,101.0,101.0
FORD Mustang Mach-E Extended,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B4R,station wagon,10,104,90,97,10,Elite,97.0,97.0
FORD Mustang Mach-E Extended,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B4R,station wagon,10,104,90,97,10,Elite,97.0,97.0
FORD Mustang Mach-E Extended,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B4A,station wagon,10,96,84,90,10,Elite,90.0,90.0
FORD Mustang Mach-E Extended,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B4A,station wagon,10,96,84,90,10,Elite,90.0,90.0
FORD Mustang Mach-E GT,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0G4A,station wagon,10,90,77,84,10,Elite,84.0,84.0
FORD Mustang Mach-E GT,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0G4A,station wagon,10,90,77,84,10,Elite,84.0,84.0
FORD Mustang Mach-E GT Performance,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0G4A,station wagon,10,88,75,82,10,Elite,82.0,82.0
FORD Mustang Mach-E GT Performance,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0G4A,station wagon,10,88,75,82,10,Elite,82.0,82.0
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV01.53EB,large car,7,30,38,33,7,Yes,33.0,33.0
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV01.53EB,large car,7,30,38,33,7,Yes,33.0,33.0
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV02.0BEB,large car,7,48,48,48,9,Yes,61.714285714285715,61.701428571428465
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV02.0BEB,large car,7,48,48,48,9,Yes,61.714285714285715,61.701428571428465
HONDA Accord Sport/Touring,1.5,4.0,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV01.53EB,large car,7,29,35,32,7,Yes,32.0,32.0
HONDA Accord Sport/Touring,1.5,4.0,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV01.53EB,large car,7,29,35,32,7,Yes,32.0,32.0
HONDA Accord Sport/Touring,2.0,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MHNXV02.0BEB,large car,7,44,41,43,9,Yes,55.285714285714285,55.24285714285721
