Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
AUDI Q4 40 e-tron,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAV00.0NZ4,standard SUV,10,30,36,33,10,Elite,33.0,33.635357142857146
AUDI Q4 40 e-tron,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,RVGAV00.0NZ4,standard SUV,10,30,36,33,10,Elite,33.0,33.635357142857146
AUDI Q4 50 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAJ00.0NZ5,standard SUV,10,97,87,93,10,Elite,93.0,93.0
AUDI Q4 50 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,RVGAJ00.0NZ5,standard SUV,10,97,87,93,10,Elite,93.0,93.0
AUDI Q4 Sportback 50 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAJ00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q4 Sportback 50 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,RVGAJ00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q5 Plug-In Hybrid quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,RVGAT02.0A3P,small SUV,7,25/55,27/61,26,9,Yes,33.42857142857143,33.42857142857145
AUDI Q5 Plug-In Hybrid quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,RVGAT02.0A3P,small SUV,7,25/55,27/61,26,9,Yes,33.42857142857143,33.42857142857145
AUDI Q8 Sportback e-tron quattro,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAT00.0AZE,standard SUV,10,84,90,87,10,Elite,87.0,87.0
AUDI Q8 Sportback e-tron quattro,,,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,RVGAT00.0AZE,standard SUV,10,84,90,87,10,Elite,87.0,87.0
AUDI Q8 Sportback e-tron ultra quattro,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAT00.0AZE,standard SUV,10,84,89,86,10,Elite,86.0,86.0
AUDI Q8 Sportback e-tron ultra quattro,,,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,RVGAT00.0AZE,standard SUV,10,84,89,86,10,Elite,86.0,86.0
AUDI Q8 e-tron quattro,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,RVGAT00.0AZE,standard SUV,10,80,83,81,10,Elite,81.0,81.0
