Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes,32.0,32.0
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes,32.0,32.0
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes,31.0,31.0
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes,31.0,31.0
AUDI A7 TFSI e quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3P,midsize car,7,25/66,31/75,27,10,Yes,38.57142857142857,38.45714285714284
AUDI A7 TFSI e quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3P,midsize car,7,25/66,31/75,27,10,Yes,38.57142857142857,38.45714285714284
AUDI Q4 e-tron Sportback quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q4 e-tron Sportback quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q4 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q4 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q5 TFSI e quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3P,small SUV,7,25/60,27/61,26,10,Yes,37.142857142857146,37.14285714285722
AUDI Q5 TFSI e quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3P,small SUV,7,25/60,27/61,26,10,Yes,37.142857142857146,37.14285714285722
AUDI RS e-tron GT,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAV00.0AZG,midsize car,10,79,82,81,10,Elite,81.0,81.0
AUDI RS e-tron GT,,,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,NVGAV00.0AZG,midsize car,10,79,82,81,10,Elite,81.0,81.0
AUDI e-tron GT,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAV00.0AZG,midsize car,10,81,83,82,10,Elite,82.0,82.0
AUDI e-tron GT,,,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,NVGAV00.0AZG,midsize car,10,81,83,82,10,Elite,82.0,82.0
"AUDI e-tron S (20"" wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite,73.0,73.0
"AUDI e-tron S (20"" wheels)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite,73.0,73.0
"AUDI e-tron S (21"" or 22"" wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite,63.0,63.0
"AUDI e-tron S (21"" or 22"" wheels)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite,63.0,63.0
"AUDI e-tron S Sportback (20"" wheel)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,73,78,75,10,Elite,75.0,75.0
"AUDI e-tron S Sportback (20"" wheel)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,73,78,75,10,Elite,75.0,75.0
"AUDI e-tron S Sportback(21/22"" wh)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZS,standard SUV,10,64,66,65,10,Elite,65.0,65.0
"AUDI e-tron S Sportback(21/22"" wh)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZS,standard SUV,10,64,66,65,10,Elite,65.0,65.0
AUDI e-tron Sportback quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite,77.0,77.0
AUDI e-tron Sportback quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite,77.0,77.0
AUDI e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite,78.0,78.0
AUDI e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite,78.0,78.0
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,25/72,33/80,28,9,Yes,36.0,35.98714285714286
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,25/72,33/80,28,9,Yes,36.0,35.98714285714286
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,22/64,30/71,25,9,Yes,32.142857142857146,32.1428571428572
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,22/64,30/71,25,9,Yes,32.142857142857146,32.1428571428572
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,24/59,29/72,26,9,Yes,33.42857142857143,33.42857142857145
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,24/59,29/72,26,9,Yes,33.42857142857143,33.42857142857145
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXJ02.0H30,small car,7,22/59,28/67,25,8,Yes,28.571428571428573,28.571428571428566
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXJ02.0H30,small car,7,22/59,28/67,25,8,Yes,28.571428571428573,28.571428571428566
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NBMXT03.0H05,standard SUV,7,19/47,22/54,20,9,Yes,25.714285714285715,25.50428571428574
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NBMXT03.0H05,standard SUV,7,19/47,22/54,20,9,Yes,25.714285714285715,25.50428571428574
"BMW i4 M50 Gran Coupe (19"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2X,small car,10,94,98,96,10,Elite,96.0,96.0
"BMW i4 M50 Gran Coupe (19"" Wheels)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0G2X,small car,10,94,98,96,10,Elite,96.0,96.0
"BMW i4 M50 Gran Coupe (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2X,small car,10,79,80,80,10,Elite,80.0,80.0
"BMW i4 M50 Gran Coupe (20"" Wheels)",,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NBMXV00.0G2X,small car,10,79,80,80,10,Elite,80.0,80.0
"BMW i4eDrive40GranCoupe(18"" Whels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NBMXV00.0G2S,small car,10,109,108,109,10,Elite,109.0,109.0
