Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
RIVIAN R1S Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1S Dual Large Plus (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,standard SUV,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1S Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1S Dual Max (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,standard SUV,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1S Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,91,77,84,10,Elite,84.0,84.0
RIVIAN R1S Dual Max (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,standard SUV,10,91,77,84,10,Elite,84.0,84.0
RIVIAN R1S Dual Standard (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,standard SUV,10,85,72,79,10,Elite,79.0,79.0
RIVIAN R1S Dual Standard (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.01L2,standard SUV,10,85,72,79,10,Elite,79.0,79.0
RIVIAN R1S Dual Standard (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,standard SUV,10,92,77,85,10,Elite,85.0,85.0
RIVIAN R1S Dual Standard (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.01L2,standard SUV,10,92,77,85,10,Elite,85.0,85.0
RIVIAN R1S Performance Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1S Performance Dual Large Plus (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,standard SUV,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1S Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1S Performance Dual Max (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,standard SUV,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1S Performance Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,standard SUV,10,91,77,84,10,Elite,84.0,84.0
RIVIAN R1S Performance Dual Max (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,standard SUV,10,91,77,84,10,Elite,84.0,84.0
RIVIAN R1T All-Terrain Dual Large Plus (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,76,67,72,10,Elite,72.0,72.0
RIVIAN R1T All-Terrain Dual Large Plus (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,76,67,72,10,Elite,72.0,72.0
RIVIAN R1T All-Terrain Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,82,73,78,10,Elite,78.0,78.0
RIVIAN R1T All-Terrain Dual Max (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,82,73,78,10,Elite,78.0,78.0
RIVIAN R1T All-Terrain Performance Dual Large Plus (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,76,67,72,10,Elite,72.0,72.0
RIVIAN R1T All-Terrain Performance Dual Large Plus (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,76,67,72,10,Elite,72.0,72.0
RIVIAN R1T All-Terrain Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,82,73,78,10,Elite,78.0,78.0
RIVIAN R1T All-Terrain Performance Dual Max (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,82,73,78,10,Elite,78.0,78.0
RIVIAN R1T Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1T Dual Large Plus (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1T Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1T Dual Max (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1T Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,93,80,87,10,Elite,87.0,87.0
RIVIAN R1T Dual Max (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,93,80,87,10,Elite,87.0,87.0
RIVIAN R1T Dual Standard (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,pickup,10,85,72,79,10,Elite,79.0,79.0
RIVIAN R1T Dual Standard (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.01L2,pickup,10,85,72,79,10,Elite,79.0,79.0
RIVIAN R1T Dual Standard (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.01L2,pickup,10,92,77,85,10,Elite,85.0,85.0
RIVIAN R1T Dual Standard (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.01L2,pickup,10,92,77,85,10,Elite,85.0,85.0
RIVIAN R1T Performance Dual Large Plus (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1T Performance Dual Large Plus (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,89,75,82,10,Elite,82.0,82.0
RIVIAN R1T Performance Dual Max (20in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1T Performance Dual Max (20in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,86,74,80,10,Elite,80.0,80.0
RIVIAN R1T Performance Dual Max (22in),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRIVT00.0SEP,pickup,10,93,80,87,10,Elite,87.0,87.0
RIVIAN R1T Performance Dual Max (22in),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRIVT00.0SEP,pickup,10,93,80,87,10,Elite,87.0,87.0
ROLLS-ROYCE Black Badge Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,70,80,74,10,Elite,74.0,74.0
ROLLS-ROYCE Black Badge Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRRGV00.0R2B,small car,10,70,80,74,10,Elite,74.0,74.0
ROLLS-ROYCE Black Badge Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,67,74,70,10,Elite,70.0,70.0
ROLLS-ROYCE Black Badge Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRRGV00.0R2B,small car,10,67,74,70,10,Elite,70.0,70.0
ROLLS-ROYCE Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,74,82,77,10,Elite,77.0,77.0
ROLLS-ROYCE Spectre (22'' Wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SRRGV00.0R2B,small car,10,74,82,77,10,Elite,77.0,77.0
ROLLS-ROYCE Spectre (23'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SRRGV00.0R2B,small car,10,67,75,70,10,Elite,70.0,70.0
