Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Eco Score,Predicted Eco Score
AUDI Q4 e-tron,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAV00.0NZ4,standard SUV,10,30,36,33,10,Elite,33.0,33.635357142857146
AUDI Q4 e-tron,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,PVGAV00.0NZ4,standard SUV,10,30,36,33,10,Elite,33.0,33.635357142857146
AUDI Q4 e-tron Sportback,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q4 e-tron Sportback,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,95.0,95.0
AUDI Q4 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0NZ5,standard SUV,10,97,87,93,10,Elite,93.0,93.0
AUDI Q4 e-tron quattro,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0NZ5,standard SUV,10,97,87,93,10,Elite,93.0,93.0
AUDI Q5 TFSIe,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,PVGAT02.0A3P,small SUV,7,25/60,27/61,26,9,Yes,33.42857142857143,33.42857142857145
AUDI Q5 TFSIe,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,PVGAT02.0A3P,small SUV,7,25/60,27/61,26,9,Yes,33.42857142857143,33.42857142857145
AUDI RS e-tron GT,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAV00.0NZG,midsize car,10,79,82,81,10,Elite,81.0,81.0
AUDI RS e-tron GT,,,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,PVGAV00.0NZG,midsize car,10,79,82,81,10,Elite,81.0,81.0
AUDI e-tron GT,,,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAV00.0NZG,midsize car,10,81,83,82,10,Elite,82.0,82.0
AUDI e-tron GT,,,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,PVGAV00.0NZG,midsize car,10,81,83,82,10,Elite,82.0,82.0
AUDI e-tron S (20in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite,73.0,73.0
AUDI e-tron S (20in. wheels),,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PVGAT00.0AZS,standard SUV,10,72,75,73,10,Elite,73.0,73.0
AUDI e-tron S (21/22 in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PVGAT00.0AZS,standard SUV,10,62,64,63,10,Elite,63.0,63.0
