Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
TOYOTA Sienna,2.5,4.0,SCV-6,4WD,Gasoline,FA,minivan,7,35,36,35,7,Yes
TOYOTA Venza,2.5,4.0,SCV-6,4WD,Gasoline,CA,small SUV,7,40,37,39,8,Yes
TOYOTA Venza,2.5,4.0,SCV-6,4WD,Gasoline,FA,small SUV,7,40,37,39,8,Yes
VOLKSWAGEN ID.4 AWD Pro,,,Auto-1,4WD,Electricity,FA,small SUV,10,106,96,101,10,Elite
VOLKSWAGEN ID.4 AWD Pro,,,Auto-1,4WD,Electricity,CA,small SUV,10,106,96,101,10,Elite
VOLKSWAGEN ID.4 AWD Pro S,,,Auto-1,4WD,Electricity,FA,small SUV,10,100,90,95,10,Elite
VOLKSWAGEN ID.4 AWD Pro S,,,Auto-1,4WD,Electricity,CA,small SUV,10,100,90,95,10,Elite
VOLKSWAGEN ID.4 Pro,,,Auto-1,2WD,Electricity,FA,small SUV,10,121,102,112,10,Elite
VOLKSWAGEN ID.4 Pro,,,Auto-1,2WD,Electricity,CA,small SUV,10,121,102,112,10,Elite
VOLKSWAGEN ID.4 Pro S,,,Auto-1,2WD,Electricity,FA,small SUV,10,115,97,106,10,Elite
VOLKSWAGEN ID.4 Pro S,,,Auto-1,2WD,Electricity,CA,small SUV,10,115,97,106,10,Elite
VOLKSWAGEN Jetta,1.5,4.0,Man-6,2WD,Gasoline,CA,small car,7,29,43,34,7,Yes
VOLKSWAGEN Jetta,1.5,4.0,Man-6,2WD,Gasoline,FA,small car,7,29,43,34,7,Yes
VOLKSWAGEN Jetta,1.5,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,31,41,35,7,Yes
VOLKSWAGEN Jetta,1.5,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,31,41,35,7,Yes
VOLKSWAGEN Jetta SE/SEL,1.5,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,29,40,33,7,Yes
VOLKSWAGEN Jetta SE/SEL,1.5,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,29,40,33,7,Yes
VOLVO C40 Recharge twin,,,Auto-1,4WD,Electricity,FA,small SUV,10,94,80,87,10,Elite
VOLVO C40 Recharge twin,,,Auto-1,4WD,Electricity,CA,small SUV,10,94,80,87,10,Elite
VOLVO S60 T8 AWD Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,30/74,33/73,31/74,10,Yes
VOLVO S60 T8 AWD Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,30/74,33/73,31/74,10,Yes
VOLVO S60 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,28/70,33/68,30/69,10,Yes
VOLVO S60 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,28/70,33/68,30/69,10,Yes
VOLVO S90 T8 AWD Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,midsize car,7,28/66,31/67,29/66,10,Yes
VOLVO S90 T8 AWD Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,midsize car,7,28/66,31/67,29/66,10,Yes
VOLVO S90 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,midsize car,7,28/62,31/64,30/63,9,Yes
VOLVO S90 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,midsize car,7,28/62,31/64,30/63,9,Yes
VOLVO V60 T8 AWD Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,station wagon,7,30/74,33/73,31/74,10,Yes
VOLVO V60 T8 AWD Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,station wagon,7,30/74,33/73,31/74,10,Yes
VOLVO V60 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,station wagon,7,28/70,33/68,30/69,10,Yes
VOLVO V60 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,station wagon,7,28/70,33/68,30/69,10,Yes
VOLVO XC40 Recharge twin,,,Auto-1,4WD,Electricity,FA,small SUV,10,92,79,85,10,Elite
VOLVO XC40 Recharge twin,,,Auto-1,4WD,Electricity,CA,small SUV,10,92,79,85,10,Elite
VOLVO XC60 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small SUV,7,24/59,27/55,25/57,8,Yes
VOLVO XC60 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small SUV,7,24/59,27/55,25/57,8,Yes
VOLVO XC60 T8 Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small SUV,7,28/66,28/60,28/63,10,Yes
VOLVO XC60 T8 Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small SUV,7,28/66,28/60,28/63,10,Yes
VOLVO XC90 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,26/58,28/53,27/55,9,Yes
VOLVO XC90 T8 Recharge,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,26/58,28/53,27/55,9,Yes
VOLVO XC90 T8 Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,25/64,27/68,26/66,10,Yes
VOLVO XC90 T8 Recharge ext. Range,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,25/64,27/68,26/66,10,Yes
AUDI Q4 e-tron,,,Auto-1,2WD,Electricity,FA,standard SUV,10,30,36,33,10,Elite
AUDI Q4 e-tron,,,Auto-1,2WD,Electricity,CA,standard SUV,10,30,36,33,10,Elite
AUDI Q4 e-tron Sportback,,,Auto-1,4WD,Electricity,FA,standard SUV,10,100,89,95,10,Elite
AUDI Q4 e-tron Sportback,,,Auto-1,4WD,Electricity,CA,standard SUV,10,100,89,95,10,Elite
AUDI Q4 e-tron quattro,,,Auto-1,4WD,Electricity,FA,standard SUV,10,97,87,93,10,Elite
AUDI Q4 e-tron quattro,,,Auto-1,4WD,Electricity,CA,standard SUV,10,97,87,93,10,Elite
AUDI Q5 TFSIe,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,small SUV,7,25/60,27/61,26/60,9,Yes
AUDI Q5 TFSIe,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,small SUV,7,25/60,27/61,26/60,9,Yes
AUDI RS e-tron GT,,,Auto-2,4WD,Electricity,FA,midsize car,10,79,82,81,10,Elite
AUDI RS e-tron GT,,,Auto-2,4WD,Electricity,CA,midsize car,10,79,82,81,10,Elite
AUDI e-tron GT,,,Auto-2,4WD,Electricity,FA,midsize car,10,81,83,82,10,Elite
AUDI e-tron GT,,,Auto-2,4WD,Electricity,CA,midsize car,10,81,83,82,10,Elite
AUDI e-tron S (20in. wheels),,,Auto-1,4WD,Electricity,FA,standard SUV,10,72,75,73,10,Elite
AUDI e-tron S (20in. wheels),,,Auto-1,4WD,Electricity,CA,standard SUV,10,72,75,73,10,Elite
AUDI e-tron S (21/22 in. wheels),,,Auto-1,4WD,Electricity,FA,standard SUV,10,62,64,63,10,Elite
AUDI e-tron S (21/22 in. wheels),,,Auto-1,4WD,Electricity,CA,standard SUV,10,62,64,63,10,Elite
AUDI e-tron S Sportback (20 wheels),,,Auto-1,4WD,Electricity,FA,standard SUV,10,73,78,75,10,Elite
AUDI e-tron S Sportback (20 wheels),,,Auto-1,4WD,Electricity,CA,standard SUV,10,73,78,75,10,Elite
AUDI e-tron S Sportback (21/22 wheel),,,Auto-1,4WD,Electricity,FA,standard SUV,10,64,66,65,10,Elite
AUDI e-tron S Sportback (21/22 wheel),,,Auto-1,4WD,Electricity,CA,standard SUV,10,64,66,65,10,Elite
AUDI e-tron Sportback quattro,,,Auto-2,4WD,Electricity,FA,standard SUV,10,77,80,78,10,Elite
AUDI e-tron Sportback quattro,,,Auto-2,4WD,Electricity,CA,standard SUV,10,77,80,78,10,Elite
AUDI e-tron quattro,,,Auto-2,4WD,Electricity,FA,standard SUV,10,78,79,79,10,Elite
AUDI e-tron quattro,,,Auto-2,4WD,Electricity,CA,standard SUV,10,78,79,79,10,Elite
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,24/69,32/78,27/73,9,Yes
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,24/69,32/78,27/73,9,Yes
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,22/64,32/75,26/68,9,Yes
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,22/64,32/75,26/68,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,24/65,29/71,26/67,8,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,24/65,29/71,26/67,8,Yes
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,22/59,28/67,25/62,8,Yes
